Title,Bookmark
Annual Visitation and Record Year by Park (1904 - Last Calendar Year),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20and%20Record%20Year%20by%20Park%20(1904%20-%20Last%20Calendar%20Year)

RegionName,ParkName,ParkType,Year,TRV
Pacific West  Region,Yosemite NP,National Park,2004,"3,280,911"
Pacific West  Region,Yosemite NP,National Park,2005,"3,304,144"
Pacific West  Region,Yosemite NP,National Park,2006,"3,242,644"
Pacific West  Region,Yosemite NP,National Park,2007,"3,503,428"
Pacific West  Region,Yosemite NP,National Park,2008,"3,431,514"
Pacific West  Region,Yosemite NP,National Park,2009,"3,737,472"
Pacific West  Region,Yosemite NP,National Park,2010,"3,901,408"
Pacific West  Region,Yosemite NP,National Park,2011,"3,951,393"
Pacific West  Region,Yosemite NP,National Park,2012,"3,853,404"
Pacific West  Region,Yosemite NP,National Park,2013,"3,691,191"
Pacific West  Region,Yosemite NP,National Park,2014,"3,882,642"
Pacific West  Region,Yosemite NP,National Park,2015,"4,150,217"
Pacific West  Region,Yosemite NP,National Park,2016,"5,028,868"
Pacific West  Region,Yosemite NP,National Park,2017,"4,336,890"
Pacific West  Region,Yosemite NP,National Park,2018,"4,009,436"
Pacific West  Region,Yosemite NP,National Park,2019,"4,422,861"
Pacific West  Region,Yosemite NP,National Park,2020,"2,268,313"

